iter	Passed	Remaining
0	1560	778776
1	3153	785339
2	4944	819067
3	6478	803291
4	8100	801947
5	9777	804981
6	11417	804107
7	13021	800836
8	14494	790748
9	16030	785492
10	17485	777323
11	19036	774159
12	20813	779688
13	22498	781029
14	24016	776532
15	25531	772326
16	26942	765490
17	28424	761158
18	29862	755999
19	31206	748962
20	32775	747600
21	34011	738971
22	35274	731563
23	36631	726517
24	37875	719631
25	38998	710966
26	40228	704742
27	41521	699933
28	42850	695943
29	44128	691350
30	45437	687425
31	46712	683168
32	47967	678816
33	49269	675282
34	50586	672078
35	51792	667541
36	53145	665037
37	54371	661040
38	55598	657201
39	56894	654288
40	58132	650803
41	59502	648865
42	60816	646353
43	62075	643324
44	63294	639974
45	64409	635695
46	65612	632395
47	66823	629249
48	68020	626063
49	69348	624136
50	70721	622624
51	71900	619449
52	73137	616834
53	74416	614623
54	75782	613149
55	77038	610803
56	78346	608901
57	79561	606314
58	80829	604169
59	82092	602009
60	83315	599601
61	84530	597166
62	85578	593614
63	86759	591052
64	88067	589372
65	89241	586832
66	90564	585291
67	91980	584346
68	93200	582164
69	94521	580630
70	95841	579098
71	97219	577918
72	98352	575292
73	99608	573423
74	100850	571484
75	102169	569999
76	103281	567375
77	104582	565819
78	105792	563782
79	107121	562386
80	108338	560418
81	109574	558563
82	110823	556789
83	112026	554798
84	113338	553360
85	114523	551312
86	115996	550648
87	117311	549232
88	118469	547090
89	119779	545661
90	120985	543770
91	122417	542894
92	123629	541044
93	124721	538689
94	125919	536814
95	127148	535082
96	128501	533876
97	129854	532669
98	131168	531297
99	132425	529701
100	133742	528347
101	134958	526600
102	136321	525432
103	137643	524103
104	139131	523401
105	140429	521974
106	141848	520993
107	143218	519831
108	144673	518967
109	146043	517790
110	147384	516508
111	148665	515020
112	150001	513721
113	151361	512503
114	152661	511082
115	153903	509475
116	155271	508283
117	156680	507220
118	157986	505823
119	159379	504702
120	160624	503114
121	162011	501970
122	163262	500405
123	164692	499390
124	166055	498167
125	167454	497046
126	168707	495496
127	170116	494401
128	171293	492635
129	172476	490895
130	173766	489463
131	175017	487927
132	176305	486497
133	177492	484793
134	178786	483384
135	180002	481771
136	181242	480226
137	182405	478484
138	183738	477191
139	185030	475792
140	186417	474638
141	187762	473372
142	188979	471788
143	190335	470552
144	191613	469122
145	193001	467961
146	194216	466383
147	195424	464793
148	196736	463454
149	198040	462095
150	199291	460613
151	200628	459333
